영화명,개봉일,국적,전국스크린수,관객수,장르,등급,러닝시간,글자수
명량,2014-07-30,한국,"1,587","17,613,682",사극,15세관람가,128,2
극한직업,2019-01-23,한국,"1,978","16,264,944",코미디,15세관람가,111,4
신과함께-죄와 벌,2017-12-20,한국,"1,912","14,410,754",판타지,12세관람가,139,4
국제시장,2014-12-17,한국,966,"14,245,998",드라마,12세관람가,126,4
어벤져스: 엔드게임,2019-04-24,미국,"2,835","13,934,592",액션,12세관람가,181,4
아바타,2009-12-17,미국,912,"13,624,328",SF,12세관람가,162,3
베테랑,2015-08-05,한국,"1,064","13,395,400",액션,15세관람가,123,3
겨울왕국 2,2019-11-21,미국,"2,648","13,369,064",애니메이션,전체관람가,103,4
괴물,2006-07-27,한국,0,"13,019,740",SF,12세관람가,119,2
도둑들,2012-07-25,한국,"1,072","12,983,330",액션,15세관람가,135,3
7번방의 선물,2013-01-23,한국,787,"12,811,206",코미디,15세관람가,127,6
암살,2015-07-22,한국,"1,519","12,705,700",액션,15세관람가,139,2
알라딘,2019-05-23,미국,"1,311","12,552,283",어드벤처,전체관람가,128,3
"광해, 왕이 된 남자",2012-09-13,한국,810,"12,319,542",사극,15세관람가,131,7
왕의 남자,2005-12-29,한국,0,"12,302,831",드라마,15세관람가,119,4
신과함께-인과 연,2018-08-01,한국,"2,235","12,253,247",판타지,12세관람가,141,4
택시운전사,2017-08-02,한국,"1,906","12,099,971",드라마,15세관람가,137,5
태극기 휘날리며,2004-02-05,한국,0,"11,746,135",전쟁,15세관람가,145,7
부산행,2016-07-20,한국,"1,788","11,565,078",액션,15세관람가,118,3
해운대,2009-07-22,한국,753,"11,453,338",액션,12세관람가,120,3
변호인,2013-12-18,한국,923,"11,372,451",드라마,15세관람가,127,3
어벤져스: 인피니티 워,2018-04-25,미국,"2,553","11,211,880",액션,12세관람가,149,4
실미도,2003-12-24,한국,0,"11,081,000",전쟁,15세관람가,135,3
어벤져스: 에이지 오브 울트론,2015-04-23,미국,"1,843","10,494,499",액션,12세관람가,141,4
겨울왕국,2014-01-16,미국,"1,010","10,296,101",애니메이션,전체관람가,108,4
인터스텔라,2014-11-06,미국,"1,342","10,273,803",SF,12세관람가,169,5
기생충,2019-05-30,한국,"1,948","10,085,275",드라마,15세관람가,131,3
보헤미안 랩소디,2018-10-31,미국,936,"9,948,386",드라마,12세관람가,134,7
검사외전,2016-02-03,한국,"1,812","9,699,092",범죄,15세관람가,126,4
엑시트,2019-07-31,한국,"1,660","9,426,011",코미디,12세관람가,103,3
관상,2013-09-11,한국,"1,190","9,134,586",사극,15세관람가,139,2
아이언맨 3,2013-04-25,미국,"1,381","9,001,309",액션,12세관람가,129,4
설국열차,2013-08-01,한국,"1,128","8,914,845",SF,15세관람가,125,4
캡틴 아메리카: 시빌 워,2016-04-27,미국,"1,991","8,677,249",액션,12세관람가,147,6
수상한 그녀,2014-01-22,한국,692,"8,656,397",드라마,15세관람가,124,5
해적: 바다로 간 산적,2014-08-06,한국,838,"8,646,758",어드벤처,12세관람가,130,8
국가대표,2009-07-29,한국,580,"8,487,894",드라마,12세관람가,126,4
디워,2007-08-01,한국,0,"8,426,973",액션,12세관람가,90,2
과속스캔들,2008-12-03,한국,405,"8,245,523",코미디,12세관람가,108,5
스파이더맨: 파 프롬 홈,2019-07-02,미국,"2,142","8,020,208",액션,12세관람가,129,5
웰컴 투 동막골,2005-08-04,한국,0,"8,008,622",전쟁,12세관람가,133,6
트랜스포머 3,2011-06-29,미국,"1,409","7,784,807",액션,12세관람가,152,5
히말라야,2015-12-16,한국,"1,009","7,759,473",드라마,12세관람가,124,4
미션임파서블:고스트프로토콜,2011-12-15,미국,"1,038","7,575,899",액션,15세관람가,132,6
트랜스포머: 패자의 역습,2009-06-24,미국,"1,129","7,505,700",SF,12세관람가,149,5
밀정,2016-09-07,한국,"1,444","7,487,545",액션,15세관람가,140,2
최종병기 활,2011-08-10,한국,615,"7,466,976",사극,15세관람가,122,5
트랜스포머,2007-06-28,미국,0,"7,440,531",SF,12세관람가,135,5
써니,2011-05-04,한국,472,"7,328,820",드라마,15세관람가,124,2
화려한 휴가,2007-07-25,한국,0,"7,307,993",드라마,12세관람가,125,5
스파이더맨: 홈 커밍,2017-07-05,미국,"1,965","7,257,973",액션,12세관람가,133,5
1987,2017-12-27,한국,"1,299","7,231,638",드라마,15세관람가,129,4
베를린,2013-01-30,한국,894,"7,166,199",액션,15세관람가,120,3
터널,2016-08-10,한국,"1,105","7,118,592",드라마,12세관람가,126,2
어벤져스,2012-04-26,미국,967,"7,074,867",액션,12세관람가,142,4
내부자들,2015-11-19,한국,"1,075","7,071,763",범죄,청소년관람불가,130,4
인천상륙작전,2016-07-27,한국,"1,049","7,049,643",전쟁,12세관람가,110,6
럭키,2016-10-13,한국,"1,158","6,965,706",코미디,15세관람가,112,2
은밀하게 위대하게,2013-06-05,한국,"1,341","6,953,800",액션,15세관람가,123,8
곡성,2016-05-12,한국,"1,485","6,878,264",미스터리,15세관람가,156,2
범죄도시,2017-10-03,한국,"1,315","6,851,297",범죄,청소년관람불가,121,4
타짜,2006-09-28,한국,0,"6,847,777",드라마,청소년관람불가,139,2
"좋은 놈, 나쁜 놈, 이상한 놈 ",2008-07-17,한국,825,"6,686,912",액션,15세관람가,139,10
늑대소년,2012-10-31,한국,706,"6,654,837",멜로/로맨스,15세관람가,125,4
미녀는 괴로워,2006-12-14,한국,0,"6,619,498",멜로/로맨스,12세관람가,120,6
군함도,2017-07-26,한국,"2,027","6,592,151",액션,15세관람가,132,3
미션 임파서블: 폴아웃,2018-07-25,미국,"1,957","6,584,915",액션,15세관람가,147,6
다크 나이트 라이즈,2012-07-19,미국,"1,210","6,396,528",액션,15세관람가,164,8
백두산,2019-12-19,한국,"1,971","6,290,502",어드벤처,12세관람가,128,3
아저씨,2010-08-04,한국,478,"6,282,774",액션,청소년관람불가,119,3
사도,2015-09-16,한국,"1,210","6,246,849",사극,12세관람가,125,2
전우치,2009-12-23,한국,606,"6,136,928",액션,12세관람가,136,3
미션 임파서블: 로그네이션,2015-07-30,미국,"1,202","6,126,488",액션,15세관람가,131,6
킹스맨 : 시크릿 에이전트,2015-02-11,미국,706,"6,125,154",액션,청소년관람불가,128,3
투사부일체,2006-01-19,한국,0,"6,105,431",코미디,15세관람가,124,5
연평해전,2015-06-24,한국,"1,013","6,043,458",드라마,12세관람가,130,4
반지의 제왕 : 왕의 귀환,2003-12-17,미국,0,"5,960,000",판타지,12세관람가,263,5
인셉션,2010-07-21,미국,528,"5,926,948",드라마,12세관람가,147,3
레미제라블,2012-12-19,미국,696,"5,911,890",드라마,12세관람가,158,5
캡틴 마블,2019-03-06,미국,"2,100","5,801,069",액션,12세관람가,123,3
미션 임파서블 3,2006-05-03,미국,0,"5,740,789",액션,15세관람가,124,6
쥬라기 월드: 폴른 킹덤,2018-06-06,미국,"1,972","5,661,128",액션,12세관람가,127,5
청년경찰,2017-08-09,한국,"1,102","5,636,259",액션,15세관람가,109,4
가문의 위기(가문의 영광2),2005-09-07,한국,0,"5,635,266",코미디,15세관람가,115,5
숨바꼭질,2013-08-14,한국,779,"5,602,543",스릴러,15세관람가,107,4
덕혜옹주,2016-08-03,한국,964,"5,593,551",사극,12세관람가,127,4
더 테러 라이브,2013-07-31,한국,743,"5,583,596",범죄,15세관람가,97,6
쥬라기 월드,2015-06-11,미국,"1,290","5,546,792",액션,12세관람가,125,5
의형제,2010-02-04,한국,572,"5,507,106",드라마,15세관람가,116,3
감시자들,2013-07-03,한국,949,"5,496,547",범죄,15세관람가,119,4
2012,2009-11-12,미국,789,"5,462,953",SF,12세관람가,157,4
앤트맨과 와스프,2018-07-04,미국,"1,775","5,447,826",액션,12세관람가,118,7
닥터 스트레인지,2016-10-26,미국,"1,503","5,446,379",액션,12세관람가,115,7
검은 사제들,2015-11-05,한국,"1,088","5,440,945",미스터리,15세관람가,108,5
안시성,2018-09-19,한국,"1,540","5,440,186",사극,12세관람가,135,3
블랙 팬서,2018-02-14,미국,"1,620","5,398,994",액션,12세관람가,135,4
완득이,2011-10-20,한국,500,"5,310,510",드라마,12세관람가,107,3
트랜스포머: 사라진 시대,2014-06-25,미국,"1,602","5,295,801",액션,12세관람가,164,5
완벽한 타인,2018-10-31,한국,"1,313","5,294,119",드라마,15세관람가,115,5
살인의 추억,2003-04-25,한국,0,"5,255,376",스릴러,15세관람가,132,5
조커,2019-10-02,미국,"1,418","5,247,794",액션,15세관람가,123,2
월드 워 Z,2013-06-20,미국,964,"5,237,525",드라마,15세관람가,115,4
반지의 제왕 : 두개의 탑,2002-12-19,미국,0,"5,183,000",액션,12세관람가,235,5
타워,2012-12-25,한국,617,"5,181,014",드라마,12세관람가,121,2
말아톤,2005-01-27,한국,0,"5,148,022",드라마,전체관람가,115,3
미녀와 야수,2017-03-16,미국,"1,627","5,137,993",멜로/로맨스,전체관람가,129,5
추격자,2008-02-14,한국,435,"5,071,619",범죄,청소년관람불가,123,3
독전,2018-05-22,한국,"1,357","5,063,620",범죄,15세관람가,123,2
쿵푸팬더 2,2011-05-26,미국,948,"5,062,722",애니메이션,전체관람가,91,4
아쿠아맨,2018-12-19,미국,"1,285","5,038,134",액션,12세관람가,143,4
