,영화명,개봉일,국적,전국스크린수,장르,등급,러닝시간,글자수,첫날관객수
0,명량,2014-07-30,한국,"1,587",사극,15세관람가,128,2,682701
1,극한직업,2019-01-23,한국,"1,978",코미디,15세관람가,111,4,368582
2,신과함께-죄와 벌,2017-12-20,한국,"1,912",판타지,12세관람가,139,4,406365
3,국제시장,2014-12-17,한국,966,드라마,12세관람가,126,4,184756
4,어벤져스: 엔드게임,2019-04-24,미국,"2,835",액션,12세관람가,181,4,1338729
5,아바타,2009-12-17,미국,912,SF,12세관람가,162,3,205303
6,베테랑,2015-08-05,한국,"1,064",액션,15세관람가,123,3,414219
7,겨울왕국 2,2019-11-21,미국,"2,648",애니메이션,전체관람가,103,4,606618
8,괴물,2006-07-27,한국,0,SF,12세관람가,119,2,395951
9,도둑들,2012-07-25,한국,"1,072",액션,15세관람가,135,3,436596
10,7번방의 선물,2013-01-23,한국,787,코미디,15세관람가,127,6,152808
11,암살,2015-07-22,한국,"1,519",액션,15세관람가,139,2,477541
12,알라딘,2019-05-23,미국,"1,311",어드벤처,전체관람가,128,3,72736
13,"광해, 왕이 된 남자",2012-09-13,한국,810,사극,15세관람가,131,7,169516
14,왕의 남자,2005-12-29,한국,0,드라마,15세관람가,119,4,159832
15,신과함께-인과 연,2018-08-01,한국,"2,235",판타지,12세관람가,141,4,1246602
16,택시운전사,2017-08-02,한국,"1,906",드라마,15세관람가,137,5,698088
17,태극기 휘날리며,2004-02-05,한국,0,전쟁,15세관람가,145,7,63289
18,부산행,2016-07-20,한국,"1,788",액션,15세관람가,118,3,872673
19,해운대,2009-07-22,한국,753,액션,12세관람가,120,3,170700
20,변호인,2013-12-18,한국,923,드라마,15세관람가,127,3,11949
21,어벤져스: 인피니티 워,2018-04-25,미국,"2,553",액션,12세관람가,149,4,980042
22,실미도,2003-12-24,한국,0,전쟁,15세관람가,135,3,21361
23,어벤져스: 에이지 오브 울트론,2015-04-23,미국,"1,843",액션,12세관람가,141,4,622165
24,겨울왕국,2014-01-16,미국,"1,010",애니메이션,전체관람가,108,4,160592
25,인터스텔라,2014-11-06,미국,"1,342",SF,12세관람가,169,5,227025
26,기생충,2019-05-30,한국,"1,948",드라마,15세관람가,131,3,568092
27,보헤미안 랩소디,2018-10-31,미국,936,드라마,12세관람가,134,7,110477
28,검사외전,2016-02-03,한국,"1,812",범죄,15세관람가,126,4,526680
29,엑시트,2019-07-31,한국,"1,660",코미디,12세관람가,103,3,489996
30,관상,2013-09-11,한국,"1,190",사극,15세관람가,139,2,373552
31,아이언맨 3,2013-04-25,미국,"1,381",액션,12세관람가,129,4,422504
32,설국열차,2013-08-01,한국,"1,128",SF,15세관람가,125,4,601029
33,캡틴 아메리카: 시빌 워,2016-04-27,미국,"1,991",액션,12세관람가,147,6,727949
34,수상한 그녀,2014-01-22,한국,692,드라마,15세관람가,124,5,142843
35,해적: 바다로 간 산적,2014-08-06,한국,838,어드벤처,12세관람가,130,8,273445
36,국가대표,2009-07-29,한국,580,드라마,12세관람가,126,4,102817
37,디워,2007-08-01,한국,0,액션,12세관람가,90,2,387468
38,과속스캔들,2008-12-03,한국,405,코미디,12세관람가,108,5,40254
39,스파이더맨: 파 프롬 홈,2019-07-02,미국,"2,142",액션,12세관람가,129,5,674423
40,웰컴 투 동막골,2005-08-04,한국,0,전쟁,12세관람가,133,6,135991
41,트랜스포머 3,2011-06-29,미국,"1,409",액션,12세관람가,152,5,544995
42,히말라야,2015-12-16,한국,"1,009",드라마,12세관람가,124,4,203173
43,미션임파서블:고스트프로토콜,2011-12-15,미국,"1,038",액션,15세관람가,132,6,264719
44,트랜스포머: 패자의 역습,2009-06-24,미국,"1,129",SF,12세관람가,149,5,478269
45,밀정,2016-09-07,한국,"1,444",액션,15세관람가,140,2,287228
46,최종병기 활,2011-08-10,한국,615,사극,15세관람가,122,5,140127
47,트랜스포머,2007-06-28,미국,0,SF,12세관람가,135,5,306678
48,써니,2011-05-04,한국,472,드라마,15세관람가,124,2,55417
49,화려한 휴가,2007-07-25,한국,0,드라마,12세관람가,125,5,115078
50,스파이더맨: 홈 커밍,2017-07-05,미국,"1,965",액션,12세관람가,133,5,545302
51,1987,2017-12-27,한국,"1,299",드라마,15세관람가,129,4,331736
52,베를린,2013-01-30,한국,894,액션,15세관람가,120,3,273647
53,터널,2016-08-10,한국,"1,105",드라마,12세관람가,126,2,397079
54,어벤져스,2012-04-26,미국,967,액션,12세관람가,142,4,214105
55,내부자들,2015-11-19,한국,"1,075",범죄,청소년관람불가,130,4,230949
56,인천상륙작전,2016-07-27,한국,"1,049",전쟁,12세관람가,110,6,464460
57,럭키,2016-10-13,한국,"1,158",코미디,15세관람가,112,2,214065
58,은밀하게 위대하게,2013-06-05,한국,"1,341",액션,15세관람가,123,8,498150
59,곡성,2016-05-12,한국,"1,485",미스터리,15세관람가,156,2,310042
60,범죄도시,2017-10-03,한국,"1,315",범죄,청소년관람불가,121,4,164339
61,타짜,2006-09-28,한국,0,드라마,청소년관람불가,139,2,136950
62,"좋은 놈, 나쁜 놈, 이상한 놈 ",2008-07-17,한국,825,액션,15세관람가,139,10,386880
63,늑대소년,2012-10-31,한국,706,멜로/로맨스,15세관람가,125,4,128787
64,미녀는 괴로워,2006-12-14,한국,0,멜로/로맨스,12세관람가,120,6,113530
65,군함도,2017-07-26,한국,"2,027",액션,15세관람가,132,3,972161
66,미션 임파서블: 폴아웃,2018-07-25,미국,"1,957",액션,15세관람가,147,6,601935
67,다크 나이트 라이즈,2012-07-19,미국,"1,210",액션,15세관람가,164,8,441089
68,백두산,2019-12-19,한국,"1,971",어드벤처,12세관람가,128,3,450171
69,아저씨,2010-08-04,한국,478,액션,청소년관람불가,119,3,130766
70,사도,2015-09-16,한국,"1,210",사극,12세관람가,125,2,250237
71,전우치,2009-12-23,한국,606,액션,12세관람가,136,3,151251
72,미션 임파서블: 로그네이션,2015-07-30,미국,"1,202",액션,15세관람가,131,6,471801
